store,sku,date,amount_miss_sales
76,100630105000002,2022-01-03,1
79,100630105000002,2022-01-03,0
8,100630105000002,2022-01-03,0
81,100630105000002,2022-01-03,0
82,100630105000002,2022-01-03,1
84,100630105000002,2022-01-03,0
85,100630105000002,2022-01-03,0
88,100630105000002,2022-01-03,0
89,100630105000002,2022-01-03,0
90,100630105000002,2022-01-03,0
91,100630105000002,2022-01-03,3
95,100630105000002,2022-01-03,0
96,100630105000002,2022-01-03,1
99,100630105000002,2022-01-03,1
220,100630105000002,2022-01-03,0
225,100630105000002,2022-01-03,0
10,100630105000002,2022-01-04,0
100,100630105000002,2022-01-04,1
104,100630105000002,2022-01-04,1
105,100630105000002,2022-01-04,0
106,100630105000002,2022-01-04,0
109,100630105000002,2022-01-04,2
11,100630105000002,2022-01-04,0
114,100630105000002,2022-01-04,0
117,100630105000002,2022-01-04,0
119,100630105000002,2022-01-04,0
121,100630105000002,2022-01-04,0
122,100630105000002,2022-01-04,0
123,100630105000002,2022-01-04,0
130,100630105000002,2022-01-04,0
133,100630105000002,2022-01-04,0
135,100630105000002,2022-01-04,0
136,100630105000002,2022-01-04,0
141,100630105000002,2022-01-04,1
143,100630105000002,2022-01-04,0
144,100630105000002,2022-01-04,0
147,100630105000002,2022-01-04,0
149,100630105000002,2022-01-04,0
15,100630105000002,2022-01-04,0
150,100630105000002,2022-01-04,0
152,100630105000002,2022-01-04,0
156,100630105000002,2022-01-04,0
159,100630105000002,2022-01-04,0
160,100630105000002,2022-01-04,0
162,100630105000002,2022-01-04,0
163,100630105000002,2022-01-04,0
164,100630105000002,2022-01-04,0
166,100630105000002,2022-01-04,0
167,100630105000002,2022-01-04,0
168,100630105000002,2022-01-04,0
170,100630105000002,2022-01-04,1
171,100630105000002,2022-01-04,0
172,100630105000002,2022-01-04,0
173,100630105000002,2022-01-04,0
174,100630105000002,2022-01-04,0
175,100630105000002,2022-01-04,0
179,100630105000002,2022-01-04,1
18,100630105000002,2022-01-04,2
180,100630105000002,2022-01-04,0
181,100630105000002,2022-01-04,0
182,100630105000002,2022-01-04,0
183,100630105000002,2022-01-04,0
184,100630105000002,2022-01-04,0
185,100630105000002,2022-01-04,0
186,100630105000002,2022-01-04,0
188,100630105000002,2022-01-04,0
189,100630105000002,2022-01-04,0
201,100630105000002,2022-01-04,0
202,100630105000002,2022-01-04,0
203,100630105000002,2022-01-04,0
21,100630105000002,2022-01-04,0
213,100630105000002,2022-01-04,0
214,100630105000002,2022-01-04,0
215,100630105000002,2022-01-04,0
216,100630105000002,2022-01-04,0
217,100630105000002,2022-01-04,0
218,100630105000002,2022-01-04,0
219,100630105000002,2022-01-04,0
22,100630105000002,2022-01-04,0
221,100630105000002,2022-01-04,0
26,100630105000002,2022-01-04,0
27,100630105000002,2022-01-04,0
28,100630105000002,2022-01-04,0
29,100630105000002,2022-01-04,0
3,100630105000002,2022-01-04,0
3005,100630105000002,2022-01-04,0
3202,100630105000002,2022-01-04,0
3205,100630105000002,2022-01-04,0
3208,100630105000002,2022-01-04,0
3245,100630105000002,2022-01-04,0
35,100630105000002,2022-01-04,0
36,100630105000002,2022-01-04,0
37,100630105000002,2022-01-04,0
4,100630105000002,2022-01-04,0
4104,100630105000002,2022-01-04,1
4123,100630105000002,2022-01-04,0
4129,100630105000002,2022-01-04,0
4133,100630105000002,2022-01-04,0
4134,100630105000002,2022-01-04,0
42,100630105000002,2022-01-04,0
43,100630105000002,2022-01-04,0
44,100630105000002,2022-01-04,0
45,100630105000002,2022-01-04,0
46,100630105000002,2022-01-04,0
47,100630105000002,2022-01-04,0
4803,100630105000002,2022-01-04,1
4805,100630105000002,2022-01-04,0
4904,100630105000002,2022-01-04,0
4906,100630105000002,2022-01-04,0
5,100630105000002,2022-01-04,0
50,100630105000002,2022-01-04,0
51,100630105000002,2022-01-04,0
52,100630105000002,2022-01-04,0
55,100630105000002,2022-01-04,0
56,100630105000002,2022-01-04,0
57,100630105000002,2022-01-04,0
61,100630105000002,2022-01-04,0
63,100630105000002,2022-01-04,0
64,100630105000002,2022-01-04,0
67,100630105000002,2022-01-04,0
68,100630105000002,2022-01-04,0
69,100630105000002,2022-01-04,2
7,100630105000002,2022-01-04,0
73,100630105000002,2022-01-04,0
74,100630105000002,2022-01-04,0
76,100630105000002,2022-01-04,1
79,100630105000002,2022-01-04,0
8,100630105000002,2022-01-04,0
81,100630105000002,2022-01-04,0
82,100630105000002,2022-01-04,1
84,100630105000002,2022-01-04,0
85,100630105000002,2022-01-04,0
88,100630105000002,2022-01-04,0
89,100630105000002,2022-01-04,0
90,100630105000002,2022-01-04,0
91,100630105000002,2022-01-04,3
95,100630105000002,2022-01-04,0
96,100630105000002,2022-01-04,1
99,100630105000002,2022-01-04,1
220,100630105000002,2022-01-04,0
225,100630105000002,2022-01-04,0
10,100630105000002,2022-01-05,0
100,100630105000002,2022-01-05,1
104,100630105000002,2022-01-05,1
105,100630105000002,2022-01-05,0
106,100630105000002,2022-01-05,0
109,100630105000002,2022-01-05,2
11,100630105000002,2022-01-05,0
114,100630105000002,2022-01-05,0
117,100630105000002,2022-01-05,0
119,100630105000002,2022-01-05,0
